,Curso_PRE,Nivel_PRE,Codigo,Edad,Genero_PRE,Decision,Otros_campus,Ingenieria_antes,Valoracion_ingenierias_PRE,Dedicacion_PRE,Trabajo_padre,Trabajo_madre,Posicion_clase,Tipo_estudiante,Gustar_PRE,Estudiar_PRE,Entender_PRE,No_entender_PRE,Profesional_PRE,Actividades_PRE,Carrera_PRE,Facilidad_PRE,Disfrutar_PRE,No_trabajo_PRE,Mundo_mejor_PRE,Interes_asignaturas_PRE,Salida_profesional_PRE,Actividades_instituto_PRE,Dificultad_asignaturas_PRE,Trabajo_PRE,Respeto_cientificos_PRE,Efecto_vidas_PRE,No_gustar_PRE,Examenes_PRE,Decisiones_personales_PRE,Curso_POST,Nivel_POST,Genero_POST,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion_POST,Valoracion_ingenierias_POST,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar_POST,Estudiar_POST,Entender_POST,No_entender_POST,Profesional_POST,Actividades_POST,Carrera_POST,Facilidad_POST,Disfrutar_POST,No_trabajo_POST,Mundo_mejor_POST,Interes_asignaturas_POST,Salida_profesional_POST,Actividades_instituto_POST,Dificultad_asignaturas_POST,Trabajo_POST,Respeto_cientificos_POST,Efecto_vidas_POST,No_gustar_POST,Examenes_POST,Decisiones_personales_POST
41,BIOINGENIERIA,SENIOR,510488,14,Chica,Yo,No,Sí,Muy buena,,Director de un colegio mayor,Ingeniera aeronáutica en Airbus,Entre los primeros de la clase,Muy buen estudiante,5,5,5,2,1,5,5,4,5,1,5,4,5,5,3,5,3,3,1,2,5,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Buena,Buena,,Muy bien,Sí,Ingeniería biomédica,Muy buena,Muy bien,Sí,Sí,10,Hablar de los instrumentos médicos que han hecho ingenieros biomédicos para ayudar en la medicina.,Nada,Nada,5,5,5,2,1,5,5,4,5,5,5,5,5,5,4,5,3,4,1,4,5
42,BIOINGENIERIA,SENIOR,611459,13,Chica,"Yo, Mis padres","2017, 2018, 2019",Sí,Buena,,Economista.,Economista.,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,5,1,3,2,5,4,4,5,5,4,3,4,1,3,4,5,1,4,5,INTELIGENCIA ARTIFICIAL,SENIOR,Chica,Bien,10,10,Buena,Muy buena,Regular,Muy bien,Sí,Me gustaría estudiar psiquiatría.,Buena,Muy bien,Sí,Sí,9,Los kahoots y el debate que hicimos.,Cuando dábamos mucha teoría pero sé que es necesaria y no quiero que la quiten.,No lo sé.,5,5,5,1,2,3,5,5,4,5,5,4,3,4,2,1,4,5,1,4,5
43,BIOINGENIERIA,SENIOR,707996,17,Chica,Yo,No,Sí,Buena,,Consultor,Gestora de ropa en Enagas,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,3,5,3,5,1,5,5,5,5,5,5,4,4,1,3,4,BIOINGENIERIA,SENIOR,Chica,Muy bien,8,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniería biomédica,Buena,Muy bien,Sí,Sí,8,Los compañeros y los monitores,No hicimos tantas actividades  prácticas como me gustaría,Incorporar más visitas por la universidad,5,5,5,1,2,5,5,3,5,1,5,4,5,5,5,5,4,3,1,1,4
44,BIOINGENIERIA,SENIOR,804594,14,Chica,Yo,No,Sí,Muy buena,,Ingeniero técnico,Técnico de laboratorio,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,2,1,4,5,4,5,1,5,4,5,5,4,5,4,5,1,3,5,BIOINGENIERIA,SENIOR,Chica,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,Microbiología,Buena,Muy bien,Sí,Sí,10,Teoría muy interesante,El nivel de puntualidad de comienzo de las clases,,5,5,5,2,5,5,5,4,5,1,4,3,5,5,4,5,4,5,1,4,5
45,BIOINGENIERIA,SENIOR,806974,17,Chico,Yo,2017,Sí,Muy buena,,Director de Ventas,Profesora de Derecho,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,3,5,4,5,1,5,5,5,5,4,4,4,4,1,3,5,BIOINGENIERIA,SENIOR,Chico,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,No lo sé todavúa,Buena,Muy bien,Sí,Sí,10,Los experimentos,nada,Que empiece un poco mas tarde,5,5,5,1,1,4,5,4,5,1,5,5,5,5,5,5,5,5,1,2,4
46,BIOINGENIERIA,SENIOR,908167,14,Chica,"Yo, Mis padres",No,Sí,Buena,,Mi padre es director de centro de asesoramiento en Banca Privada.,Mi madre trabaja en gestión financiera y es matemática.,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,5,5,2,4,5,5,5,3,5,4,3,1,4,4,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Muy buena,No asistí,Regular,Muy bien,Sí,Ingeniería Biomédica o Biotecnología,Muy buena,Muy bien,Sí,Sí,9,Las prácticas de tinción y ver al microscopio.,La teoría,"Creo q se debería dedicar más tiempo a las prácticas o hacer muchas más, ya que la teoría dura mucho y es más rollo.",5,5,5,2,1,5,5,4,5,1,4,5,5,5,2,5,5,4,1,3,3
47,BIOINGENIERIA,SENIOR,1003516,15,Chica,Yo,2019,Sí,Muy buena,,Profesor de matemáticas  en icai,Joyera,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,4,2,1,4,5,4,4,2,5,4,4,4,2,4,4,3,2,2,4,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,Nutricion o ingeniera de inteligencia artificial,Muy buena,Muy bien,Sí,Sí,10,Las practicas,La teoria,,5,5,4,1,1,4,5,4,4,5,5,4,5,5,3,5,4,4,1,2,3
48,BIOINGENIERIA,SENIOR,1006000,14,Chica,Yo,"2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Técnico en electrónica,Administrativa,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,3,5,5,5,5,3,3,5,5,1,2,5,INGENIERIA ELECTRONICA,SENIOR,Chica,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,"Criminología, ingeniería y tecnología",Muy buena,Bien,Sí,Sí,10,Todo (explotar condensadores),Nada,Más días,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,3,5,5,1,3,5
49,BIOINGENIERIA,SENIOR,1006955,15,Chica,Yo,2019,Sí,Buena,,Arquitecto,Abogada,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,5,4,1,4,4,5,4,3,5,5,5,1,1,5,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Buena,No asistí,Buena,Muy bien,Sí,Biotecnología,Buena,Muy bien,Sí,Sí,9,Neurociencia,Demasiada teoría,,5,5,5,1,1,4,5,5,4,5,4,4,5,5,3,5,4,5,1,2,4
50,BIOINGENIERIA,SENIOR,1207020,14,Chica,Yo,No,No sé,Buena,,Físico,Promociones,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,4,2,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,2,4,EDICION DE FOTO Y VIDEO,SENIOR,Chica,Muy bien,8,10,Buena,No asistí,Buena,Muy bien,No sé,Ni idea,Buena,Bien,Sí,Sí,9,Photoshop,Nada,Esta todo bien,3,3,4,2,3,3,3,4,3,3,4,3,3,3,3,3,4,4,2,2,4
51,BIOINGENIERIA,SENIOR,1412021,14,Chica,Otros,No,Sí,Me da igual,,Informático,Informática,"Por el medio, pero más cerca de los últimos",Dentro de la media,5,5,4,1,1,4,4,4,4,1,4,4,3,3,2,3,2,4,1,2,2,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,No lo sé,Buena,Regular,Sí,Sí,10,Todo,No lo sé,Nada,5,5,5,3,1,5,5,4,4,4,3,3,4,3,3,2,3,4,4,4,3
52,BIOINGENIERIA,SENIOR,1610000,13,Chico,Yo,No,No sé,Buena,,desarrollador de software de televisiones,dirige una panadería,Entre los últimos de la clase,Buen estudiante,4,4,5,2,2,3,4,3,4,3,5,4,4,4,2,3,5,4,1,2,4,BIOINGENIERIA,SENIOR,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,10,muchos ejemplos con experimentos,nada,nada,5,5,5,1,4,3,4,3,4,2,5,4,4,4,2,3,4,4,2,2,5
53,BIOINGENIERIA,SENIOR,1701279,16,Chica,Mis padres,No,Sí,Buena,,Empresario,No trabaja,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,1,1,4,5,4,5,1,5,5,5,5,3,5,3,4,1,4,3,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Medicina o ingeniera biomedica,Muy buena,Muy bien,Sí,Sí,10,La gente,Desmayarme,Que sea mas tarde el curso,5,5,5,2,1,4,5,4,4,2,4,5,5,4,3,5,4,4,1,4,4
54,BIOINGENIERIA,SENIOR,1701657,16,Chico,Yo,"2018, 2019",Sí,Muy buena,,Iberia,Cepsa,"Por el medio, pero más cerca de los últimos",Buen estudiante,5,5,5,1,1,4,5,3,5,4,4,5,5,4,3,4,2,4,2,3,4,INTELIGENCIA ARTIFICIAL,SENIOR,Chico,Bien,9,9,Muy buena,Muy buena,Buena,Regular,Sí,No lo sé,Buena,Bien,Sí,Sí,8,Aprender sobre lo controlados que nos tienen las empresas,Que los ordenadores no funcionaban algunos,Hacer las clases más dinámicas,5,5,4,1,1,4,5,4,4,2,4,4,4,4,3,3,2,4,1,3,4
55,BIOINGENIERIA,SENIOR,1704572,16,Chica,Yo,2017,Sí,Buena,,Fallecido,Jubilada,Entre los primeros de la clase,Buen estudiante,5,5,5,2,1,4,5,5,5,3,5,4,5,5,2,3,3,4,1,3,5,BIOINGENIERIA,SENIOR,Chica,Bien,9,10,Muy buena,Buena,Regular,Muy bien,Sí,Cardiocirujana,Buena,Bien,Sí,Sí,10,Las visitas al laboratorio y las practicas con el microscopio,.,.,5,5,5,1,5,5,5,4,5,2,5,4,5,5,3,4,4,5,1,2,5
56,BIOINGENIERIA,SENIOR,1704950,14,Chico,"Yo, Mis padres, Mis amigos",No,No sé,Buena,,Abogado,Profesora de biología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,2,3,3,2,3,4,2,5,4,3,5,2,3,4,4,1,2,4,BIOINGENIERIA,SENIOR,Chico,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Ingenieria biomedica,Muy buena,Bien,Sí,Sí,10,Los profesores y la practica,✨mi compañera se desmayó✨,"Nada, sois perfectos tal y como sois❤️🥰",5,5,4,1,2,5,4,5,5,2,4,5,4,5,2,4,3,4,1,3,4
57,BIOINGENIERIA,SENIOR,1706015,16,Chico,Yo,2018,Sí,Muy buena,,Ingeniero industrial,Ingeniera industrial,"Por el medio, pero más cerca de los últimos",Dentro de la media,5,5,4,1,1,3,5,3,4,1,5,4,5,4,4,4,4,4,1,3,5,BIOINGENIERIA,SENIOR,Chico,Muy bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero biomédico,Muy buena,Bien,Sí,Sí,10,Prácticas y profesorado  (apoyo y principal),Algunas partes de teoría,Nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,5,5,5,5,1,1,5
58,BIOINGENIERIA,SENIOR,1812143,14,Chica,Yo,No,Sí,Muy buena,,Ciberseguridad,Economista,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,4,3,1,1,5,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Bio ingeniería / matemáticas con inteligencia artificial,Muy buena,Muy bien,Sí,Sí,10,El buen ambiente ( y los experimentos ),Su fin,Nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,5,4,1,2,5
59,BIOINGENIERIA,SENIOR,2108376,13,Chico,Yo,2019,Sí,Buena,,Cantante de ópera,Profesora de español como lengua extrangera,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,5,2,1,3,5,4,5,2,5,4,5,4,1,5,4,4,1,2,4,BIOINGENIERIA,SENIOR,Chico,Bien,9,10,Buena,Buena,Buena,Bien,No,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,"Los experimentos, especialmente mirar las bacterias al microscopio",Me aburrí un poco con la teoría,Nada. Está muy bien.,5,5,5,1,1,3,5,4,5,2,5,4,5,4,2,5,4,5,1,2,4
60,BIOINGENIERIA,SENIOR,2205000,14,Chica,Yo,"2018, 2019, 2020 (online)",Sí,Muy buena,,Auditor,Dependienta,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,4,5,3,4,4,5,5,3,4,5,5,1,3,5,VIDEOJUEGOS 2D,JUNIOR,Chico,Bien,10,1,Buena,No asistí,Muy buena,Muy bien,Sí,Ingeniero / Astrofisico,Muy buena,Bien,Sí,Sí,10,"Las clases se pasan muy rapido, lo que hace que sea muy llevadero",Que no hayamos hecho mas proyectos,"Nada, todo esta bien",5,5,5,1,1,4,5,4,5,1,5,5,5,5,3,5,4,5,1,5,5
61,BIOINGENIERIA,SENIOR,2210491,16,Chica,Mis padres,No,No sé,Me da igual,,Ingeniero,Ingeniero,Entre los primeros de la clase,Buen estudiante,4,4,4,3,2,2,3,4,3,2,5,4,4,4,5,2,3,5,2,3,5,BIOINGENIERIA,SENIOR,Chica,Muy bien,7,10,Mala,No asistí,,Muy bien,Sí,No se igual medicina pero ingeniería no,Me da igual,Bien,Sí,No,8,Los debates,No era lo que me esperaba creía que iba a ser más orientado a la carrera y a las salidas profesionales me ha parecido simplemente un campamento de biología,Especificar y profundizar más en lo que es la carrera,5,5,5,2,2,5,5,4,4,3,5,4,4,4,5,3,4,4,2,3,5
62,BIOINGENIERIA,SENIOR,2310590,14,Chica,Yo,2016,Sí,Buena,,Jefe de una serie de empresas y materiales sobre la naturaleza,Secretaria,Entre los primeros de la clase,Muy buen estudiante,4,5,5,1,1,3,4,4,5,3,4,4,5,4,2,3,4,4,1,2,4,BIOINGENIERIA,SENIOR,Chica,Bien,7,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ser neurocirujana,Buena,Muy bien,Sí,Sí,8,La realización de prácticas,Que hay demasiada teoría,Menos teoría,5,5,4,1,2,4,5,3,4,1,4,4,5,4,2,4,5,4,1,2,4
63,BIOINGENIERIA,SENIOR,2312587,12,Chica,Yo,"2019, 2020 (online)",No sé,Buena,,Estudio la ingeniería de Caminos pero trabaja en el sector de la energía,Trabaja en un centeo de salud como médico y psicóloga,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,3,4,1,3,4,3,4,4,3,5,4,4,4,2,3,2,4,2,1,4,CIENCIA EN LA COCINA,SENIOR,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,10,"Las personas, los profesores y las actividades realizadas.",Levantarse pronto,Nada,4,4,5,1,4,5,4,4,5,4,5,4,3,4,3,3,2,5,1,1,5
64,BIOINGENIERIA,SENIOR,2312599,16,Chica,Mis padres,No,No sé,Me da igual,,Inspector de Hacienda,Empresa farmacéutica,Entre los primeros de la clase,Muy buen estudiante,4,3,4,2,2,1,3,3,3,2,5,4,3,4,5,3,2,4,3,5,3,BIOINGENIERIA,SENIOR,Chica,Bien,8,10,Regular,No asistí,,Muy bien,No sé,No lo sé,Me da igual,Bien,No,No,8,El trato de todos los profesores y los de apoyo,"Pensaba que era un curso en que se explicaba que es la carrera, salidas etc. Entonces no ha sido lo que esperaba",Especificar más que se hace en este curso en la página on-line,4,4,5,1,3,3,3,4,4,3,5,5,4,4,4,3,2,4,2,4,5
65,BIOINGENIERIA,SENIOR,2409336,14,Chico,"Yo, Mis padres, Mis amigos",No,Sí,Me da igual,,Topografía.,Recursos Humanos en la UNED.,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,4,3,1,2,2,4,5,5,3,5,4,4,4,1,3,3,4,1,1,3,BIOINGENIERIA,SENIOR,Chico,Bien,9,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,No lo sé,Buena,Muy bien,Sí,Sí,9,Los profesores y las charlas,Las escaleras y las preguntas repetitivas en este formulario,Las preguntas repetitivas en este cuestionario,4,4,3,1,2,3,3,5,4,3,5,4,4,4,1,3,3,5,1,1,3
66,BIOINGENIERIA,SENIOR,2505253,15,Chico,Yo,2019,Sí,Buena,,Arquitecto,Arquitecta,Entre los primeros de la clase,Buen estudiante,5,5,5,2,1,5,5,4,5,1,5,4,5,5,2,5,4,5,1,2,5,EMPRENDE ICADE,SENIOR,Chico,Bien,10,9,No asistí,No asistí,Buena,Muy bien,Sí,biotecnologia/biomedicina/fisica,Buena,Bien,Sí,Sí,9,La manera de enseñar,No creo poder decir algo malo,,5,5,5,1,1,4,5,3,4,1,5,3,5,4,3,5,4,5,1,3,5
67,BIOINGENIERIA,SENIOR,2605000,14,Chica,Yo,No,No sé,Buena,,Consultoría,Medicina,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,CIENCIA EN LA COCINA,SENIOR,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,"Meteoróloga, diseñadora de interiores",Buena,Bien,Sí,Sí,10,la variedad de comida y técnicas que hemos hecho,que para mi gusto dura mucho,que el patio no sea tan largo para tener mas tiempo de el curso,3,3,4,2,3,4,3,3,3,3,3,3,3,4,2,3,4,3,2,2,3
68,BIOINGENIERIA,SENIOR,2605041,15,Chica,"Yo, Mis padres, Mis amigos",No,Sí,Buena,,Abogado,Asistente,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,5,5,2,1,5,5,4,5,1,5,5,5,5,2,5,2,4,1,2,4,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Biología-Zoología,Buena,Regular,Sí,Sí,10,La alegría de los monitores y como te explican las cosas,Nada :) todo era bueno,Nada :),5,5,5,1,2,5,5,5,5,2,5,5,5,5,2,5,3,5,1,2,5
69,BIOINGENIERIA,SENIOR,2606000,14,Chico,Yo,No,Sí,Muy buena,,Medicina,Medicina,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,3,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,INGENIERIA MECANICA,SENIOR,Chico,Bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,Ingeniería de telecomunicaciones o economía,Buena,Muy bien,Sí,Sí,10,Montar los coches eléctricos y de gasolina y probarlos.,El dibujo técnico y el diseño de piezas,,4,5,5,1,1,3,5,4,4,2,5,5,5,4,2,5,5,5,1,1,5
70,BIOINGENIERIA,SENIOR,2708654,14,Chico,Yo,"2016, 2017, 2018, 2019",No sé,Muy buena,,estadística,farmacéutica,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,5,3,4,1,3,3,4,5,5,2,5,3,4,5,2,3,5,5,1,1,4,BIOINGENIERIA,SENIOR,Chico,Muy bien,10,10,Buena,No asistí,Muy buena,Muy bien,No sé,Cirujano Cardiovascular,Muy buena,Muy bien,Sí,Sí,9,Ver las muestras de microorganismos en los microscopios,Nada.,"Nada, ha estado muy bien",5,4,5,1,2,4,4,5,5,3,5,5,5,5,2,3,5,5,5,2,4
71,BIOINGENIERIA,SENIOR,2812778,15,Chico,Mis padres,No,No,Buena,,Derecho,Profesora,"Por el medio, pero más cerca de los últimos",Dentro de la media,2,1,4,3,5,3,2,3,3,2,5,4,2,3,4,1,4,4,3,4,5,BIOINGENIERIA,SENIOR,Chico,Bien,9,10,Muy buena,Muy buena,Regular,Muy bien,No,No lo se ;(,Buena,Bien,Sí,Sí,8,Los profes y los experimentos,la teoria,La teoría porque al ser de colegios diferentes damos conceptos distintos hay cosas que no sabía y compañeros de aquí si y viceversa,4,2,4,3,2,4,2,3,3,3,5,3,3,4,4,2,4,4,4,5,5
72,BIOINGENIERIA,SENIOR,3110083,14,Chica,Yo,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Abogacía,Abogacía,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,4,5,4,5,3,5,4,5,5,3,2,4,5,1,2,4,EDICION DE FOTO Y VIDEO,SENIOR,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Una ingeniería,Muy buena,Muy bien,Sí,Sí,10,El proyecto libre del Jueves y el Viernes,Nada,Nada,5,5,5,1,2,4,5,4,5,3,5,4,4,4,2,3,4,5,1,2,5
73,BIOINGENIERIA,SENIOR,17305443,16,Chica,Mis padres,No,Sí,Buena,,Profesor de electrónica e ingeniería,Científica,Entre los primeros de la clase,Buen estudiante,4,5,5,1,1,3,5,3,4,2,5,5,5,5,3,5,4,5,1,4,5,BIOINGENIERIA,SENIOR,Chica,Bien,9,10,Regular,No asistí,Muy buena,Muy bien,Sí,A algo relacionado con la biología,Me da igual,Bien,Sí,Sí,8,"Las prácticas que hemos hecho, y el juego de rol me ha llamado mucho la atención",Me ha parecido mucha teoría.,Menos teoría y más tiempo para hacer prácticas.,5,5,5,1,2,3,5,4,4,2,5,4,5,5,3,5,4,5,1,4,5
74,CIBERSEGURIDAD,SENIOR,104324,17,Chico,Yo,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Informático,Maestra,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,4,4,1,5,5,5,5,1,5,4,5,1,3,4,CIBERSEGURIDAD,SENIOR,Chico,Muy bien,8,10,Buena,Buena,,Muy bien,Sí,Física o Ingeniería,Muy buena,Muy bien,Sí,Sí,9,Las herramientas que hemos aprendido,"Entrar más en detalle en la programación de archivos y demás, el profesor principal le faltaba soltarse un poco a la hora de hablar, pero por el resto bien.",,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5
75,CIBERSEGURIDAD,SENIOR,106789,16,Chico,Mis padres,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Buena,,telecomunicaciones,quimica industrial,Entre los primeros de la clase,Buen estudiante,5,5,5,1,3,3,5,5,5,2,4,5,3,4,2,3,4,5,1,1,5,CIBERSEGURIDAD,SENIOR,Chico,Bien,10,10,Buena,Muy buena,Mala,Bien,Sí,mercado de valores,Buena,Muy bien,Sí,Sí,10,nse,nse,nse,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,5
76,CIBERSEGURIDAD,SENIOR,303941,14,Chico,Yo,"2018, 2019",Sí,Buena,,Fallecido,Funcionaria,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,2,3,4,4,5,3,4,4,4,4,2,3,4,4,1,2,4,INGENIERIA MECANICA,SENIOR,Chico,Regular,9,10,Buena,No asistí,,Bien,Sí,Paso de decirlo.,Buena,Muy bien,No,No,7,Los profesorado.,Mucho coche.,Hablar de más cosas y de forma menos extensa.,5,4,4,1,2,2,4,4,5,3,5,4,4,4,2,3,4,4,1,2,3
77,CIBERSEGURIDAD,SENIOR,304000,15,Chico,Mis padres,No,Sí,Buena,,Hace máquinas,Farmacia,Entre los primeros de la clase,Buen estudiante,4,3,4,2,3,2,4,3,4,3,4,4,3,3,2,3,3,4,2,2,3,MINECRAFT,JUNIOR,Chico,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,no lo se,Buena,Muy bien,Sí,Sí,10,todo,casi nada,no se,5,3,3,1,1,2,1,1,3,3,3,1,3,3,3,3,3,3,1,3,3
78,CIBERSEGURIDAD,SENIOR,305405,14,Chico,Yo,No,Sí,Buena,,director de inversiones,en caja,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,4,4,4,4,3,4,4,4,4,4,4,4,3,5,4,5,5,2,2,4,CIBERSEGURIDAD,SENIOR,Chico,Regular,10,10,Muy buena,Buena,Regular,Bien,Sí,ingeniero de software,Muy buena,Bien,Sí,Sí,7,lo relacionado con la seguridad,no se,no se,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
79,CIBERSEGURIDAD,SENIOR,507145,14,Chico,Mis padres,No,Sí,Buena,,mi padre es director internacional de recursos humanos en securitas direct,Trabaja de empleada del banco de España,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,4,4,2,2,2,4,3,4,4,4,4,4,3,2,2,4,4,1,2,2,BIOINGENIERIA,SENIOR,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Bien,Sí,Teleco o ingeniería de la energía o militar,Muy buena,Muy bien,Sí,Sí,10,La gente,No haber venido a bioingenieria desde el peincipio,,5,4,4,1,2,4,4,4,4,1,4,5,4,4,4,3,4,5,1,4,4
80,CIBERSEGURIDAD,SENIOR,710906,15,Chico,Yo,No,Sí,Muy buena,,Finanzas,Ingeniera de telecomunicaciones,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,5,1,1,4,5,3,4,1,4,5,5,4,3,5,3,4,1,3,4,SMART CITY,SENIOR,Chico,Muy bien,7,6,Muy buena,Muy buena,Muy buena,Muy bien,Sí,"Arquitectura, Ingeniería o Ciberseguridad",Buena,Bien,Sí,Sí,9,El ambiente en clase y los contenidos aprendidos,Es un poco corto,,4,4,4,2,2,4,5,4,5,1,4,4,4,4,3,4,3,4,1,3,3
81,CIBERSEGURIDAD,SENIOR,908497,15,Chico,"Yo, Mis padres",No,Sí,Muy buena,,Ingeniero agrónomo,Enfermera,Entre los primeros de la clase,Buen estudiante,4,5,5,1,2,3,5,4,4,3,5,4,4,3,3,3,4,4,2,1,4,CIBERSEGURIDAD,SENIOR,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ciberseguridad,Muy buena,Muy bien,Sí,Sí,9,Lo aprendido,Madrugar,.,5,5,5,1,5,4,5,4,5,3,5,5,5,5,2,3,4,5,1,2,4
82,CIBERSEGURIDAD,SENIOR,1005078,16,Chico,Yo,No,Sí,Buena,,policia,empresaria,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,3,4,4,4,1,4,4,4,5,4,3,4,4,5,4,4,CIBERSEGURIDAD,SENIOR,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,alguna ingenieria,Muy buena,Bien,Sí,Sí,9,kali,teoria,yo creo que esta todo bien,5,4,4,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
83,CIBERSEGURIDAD,SENIOR,1006462,17,Chico,Yo,2019,Sí,Buena,,Directivo de una empresa.,Directiva de una empresa.,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,4,5,3,4,2,5,4,4,3,4,2,3,4,1,5,4,CIBERSEGURIDAD,SENIOR,Chico,Bien,9,9,Buena,Regular,Buena,Muy bien,Sí,Estudiar una ingeniería.,Buena,Bien,Sí,Sí,9,Los materiales y los profesores.,En ocasiones la wifi ha dado problemas.,Hacer las presentaciones más interactivas con los alumnos.,4,5,4,3,1,4,5,3,3,1,4,3,5,4,5,3,3,4,1,5,4
84,CIBERSEGURIDAD,SENIOR,1112000,12,Chica,Yo,2020 (online),Sí,Muy buena,,Inspector de acienda,Inspectora de acienda,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,5,4,5,1,2,5,VIDEOJUEGOS 2D,JUNIOR,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,diseño 3D,Buena,Bien,Sí,Sí,10,todo,nada,todo esta bien,3,4,4,1,3,3,2,5,4,2,5,4,2,4,1,2,4,4,1,1,4
