Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
INGENIERIA MECANICA,JUNIOR,504000,Chico,Bien,10,8,Buena,No asistí,Buena,Muy bien,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,Aprender como funciona un motor,El olor del laboratorio,,5,4,5,1,3,4,4,5,5,3,5,5,4,4,3,3,4,4,1,3,5,"2018, 2019",Mis padres,13,Me da igual,No sé,Mucho mejor
CIENCIA EN LA COCINA,JUNIOR,505000,Chica,Muy bien,10,10,No asistí,No asistí,Mala,Muy bien,Sí,profesora de matemáticas o educación física,Muy buena,Muy bien,Sí,Sí,9,Las esferificaciones,Nada,Nada,5,5,5,1,1,5,5,5,5,2,5,5,5,5,1,4,5,5,1,1,5,No,Otros,12,Muy buena,No sé,Igual
BIOINGENIERIA,SENIOR,505006,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,Neurociencia o Ingeniería Biomédica,Muy buena,Muy bien,Sí,Sí,10,Los experimentos y poder conocer mejor las carreras de ciencias,Las mascarillas,No creo que sea necesario cambiar nada,5,5,5,2,1,4,5,5,5,1,5,5,5,5,1,5,5,5,1,3,5,No,Yo,15,Buena,Sí,Mejor
DISEÑO 3D,JUNIOR,506000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,AL CINE,Buena,Muy bien,Sí,Sí,10,Diseñar,nada,nada,4,4,5,1,2,3,4,4,5,3,5,4,4,5,2,3,5,5,2,1,5,No,Mis padres,11,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,506000,Chico,Bien,10,1,No asistí,No asistí,Muy buena,Bien,Sí,realizador de cine,Buena,Muy bien,Sí,Sí,10,Editar fotos,nada,nada,4,3,5,1,3,1,4,4,4,3,5,3,3,4,3,3,4,4,2,5,4,No,Mis padres,11,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,506531,Chica,Bien,10,10,Muy buena,Muy buena,Buena,Bien,No sé,no se,Buena,Muy bien,Sí,Sí,10,Photoshop,Video,nada,5,5,5,1,4,3,4,4,5,1,4,5,4,3,2,4,4,5,1,2,4,No,Mis padres,14,Buena,No sé,Igual
BIOINGENIERIA,SENIOR,507145,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Bien,Sí,Teleco o ingeniería de la energía o militar,Muy buena,Muy bien,Sí,Sí,10,La gente,No haber venido a bioingenieria desde el peincipio,,5,4,4,1,2,4,4,4,4,1,4,5,4,4,4,3,4,5,1,4,4,No,Mis padres,14,Buena,Sí,Mejor
BIOINGENIERIA,SENIOR,510488,Chica,Muy bien,10,10,Buena,Buena,,Muy bien,Sí,Ingeniería biomédica,Muy buena,Muy bien,Sí,Sí,10,Hablar de los instrumentos médicos que han hecho ingenieros biomédicos para ayudar en la medicina.,Nada,Nada,5,5,5,2,1,5,5,4,5,5,5,5,5,5,4,5,3,4,1,4,5,No,Yo,14,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,512090,Chica,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,No,Algo relacionado con la economia y el derecho,Buena,Bien,Sí,Sí,9,Programar,la teoría,Nada :),3,2,4,3,4,3,2,1,4,4,5,3,2,4,5,2,4,4,3,5,4,No,"Yo, Mis padres, Mis amigos",13,Buena,No,Igual
VIDEOJUEGOS 3D,SENIOR,603000,Chica,Muy bien,10,5,Buena,No asistí,Buena,Muy bien,No sé,"Arquitecta, o animadora/editora.",Muy buena,Muy bien,Sí,Sí,9,"La ayuda proporcionada por parte del profesor, también los métodos de enseñanza. Han sido alucinantes y muy productivos.","He estado un tanto desubicada, obviamente por mi parte, por lo cual, es mi culpa.","La verdad me gusta mucho este lugar, no creo que haya mucho que mejorar.",4,4,5,1,3,2,3,4,4,3,5,4,3,2,4,2,2,5,1,3,5,No,Mis padres,12,Muy buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,604762,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,No lo tengo decidido.,Muy buena,Muy bien,Sí,Sí,10,Los experimentos que hicimos y probamos.,El descanso se hacía un poco aburrido.,No creo que haya que cambiar nada.,5,5,5,1,1,5,5,5,5,3,5,5,5,5,3,4,5,3,1,3,5,No,"Yo, Mis padres",14,Muy buena,Sí,Igual
DISEÑO 3D,SENIOR,605000,Chica,Muy bien,10,10,Muy buena,No asistí,,Muy bien,Sí,No sé,Muy buena,Bien,Sí,Sí,9,Imprimir cosas en 3d,Nada,Habría molado mas con mas colores de filamento,5,5,5,1,5,4,5,4,5,1,5,5,5,5,2,5,5,5,1,1,5,No,Yo,13,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,605000,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,No sé,Muy buena,Muy bien,Sí,Sí,10,Edición de fotos,Con un par de días habríamos aprendido mucho mas.,Mover el recreo a un sitio mas grande o meter menos niños a la vez,5,5,5,1,1,4,5,4,5,1,4,5,5,5,2,5,5,3,1,2,5,No,Yo,13,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,606472,Chico,Bien,10,10,Buena,Muy buena,,Muy bien,Sí,Ingenieria,Muy buena,Bien,Sí,Sí,9,La charla con Roman Ramirez y las practicas con el sistema operativo Linux al utilizar las antenas HackFM,Nada la verdad,La Wi-fi en algunos momentos se corta debido a esto las descargas son lentas.,5,5,5,1,1,4,5,4,5,2,4,5,5,4,1,4,4,4,1,2,4,2019,Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,606472,Chico,Muy bien,10,9,Buena,Muy buena,Buena,Muy bien,Sí,Alguna Ingeniería,Muy buena,Bien,Sí,Sí,9,Programar con Python y Scratch,nada,nada,5,5,5,1,1,4,5,4,5,4,4,5,5,4,2,4,4,4,1,2,4,2019,Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,607816,Chico,Bien,10,10,Buena,Muy buena,Buena,Muy bien,Sí,No se,Buena,Muy bien,Sí,Sí,9,La forma en que las profes explicaban todo y te lo hacian entender super fácil y además de forma practica y divertida,despertarse a las 7,hacer mas python,5,4,4,1,2,4,4,4,5,2,3,4,4,4,3,3,3,4,1,3,4,No,Yo,16,Me da igual,Sí,Mejor
BIOINGENIERIA,JUNIOR,608000,Chica,Bien,10,8,Muy buena,No asistí,Muy buena,Muy bien,Sí,veterinaria,Muy buena,Bien,Sí,No,9,ver por el microscopio,los tintes que manchan,la hora de entrada,5,5,5,1,1,4,5,4,4,1,5,4,5,5,1,5,4,4,1,1,5,No,Yo,11,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,608000,Chica,Bien,7,9,Muy buena,No asistí,Buena,Muy bien,Sí,veterinaria,Buena,Bien,No,No,8,desmontar cosas,los dibujos de los profes,la hora de entrada,5,4,5,1,1,5,5,5,4,1,5,4,5,5,1,5,4,4,1,1,4,No,Yo,11,Muy buena,Sí,Peor
MINECRAFT,JUNIOR,608000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No,veterinaria,Muy buena,Muy bien,Sí,No,9,las pruebas de minecraft,los compañeros machistas,enseñar mas comandos,5,2,5,1,2,4,3,5,5,1,5,5,3,5,1,3,5,5,1,1,3,No,Yo,11,Muy buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,608000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,veterinaria,Muy buena,Bien,No,No,9,el juego de las galletas,la hora de entrada,entrar una hora mas tarde,4,5,5,1,1,4,5,5,5,1,5,5,5,5,1,3,5,5,1,1,4,No,Yo,11,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,609000,Chico,Bien,10,10,No asistí,No asistí,,Muy bien,No,no lo se,Muy buena,Bien,Sí,Sí,8,mis amigos nuevos,nada incluido limpiar,no,5,3,3,2,3,3,2,5,4,3,5,3,3,2,5,3,5,4,2,5,5,No,"Yo, Mis padres",9,Me da igual,No sé,Mucho mejor
ROBOTICA,JUNIOR,609000,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,No sé,decoradora de interiores o algo relacionado con la sostenibilidad,Muy buena,Muy bien,Sí,Sí,9,la gente que he conocido y lo que he aprendido montando legos,nada,esta todo muy bien,4,4,4,3,4,2,4,3,4,2,5,4,4,4,5,3,5,4,2,4,4,No,"Yo, Mis padres",9,Me da igual,No sé,Mucho mejor
INGENIERIA MECANICA,SENIOR,609703,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniería industrial,Muy buena,Bien,Sí,Sí,10,"La información dada, las instalaciones, los profesores, y la universidad en general.",Nada en particular,,5,5,5,2,1,5,5,4,5,2,5,5,5,5,4,4,5,5,1,5,5,No,Yo,16,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,610000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,No lo se,Muy buena,Muy bien,Sí,Sí,10,La cocina molecular,Nada,Nada,5,5,5,1,4,5,5,3,5,1,5,5,5,5,2,5,3,5,1,2,5,2020 (online),Yo,10,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,610000,Chica,Bien,8,9,No asistí,No asistí,Buena,Bien,Sí,No lo sé,Buena,Muy bien,Sí,Sí,9,Todo,Nada,Nada,5,5,5,1,4,5,5,3,5,1,5,5,4,5,3,5,3,4,1,2,4,2020 (online),Yo,10,Muy buena,Sí,Peor
INGENIERIA MECANICA,JUNIOR,610000,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingienería,Muy buena,Muy bien,Sí,Sí,10,Los laboratorios,Nada,Creo que el curso esta muy bien,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,2020 (online),Yo,10,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,611459,Chica,Muy bien,10,10,Buena,No asistí,,Muy bien,Sí,Me gustaría estudiar psiquiatría.,Buena,Muy bien,Sí,Sí,9,Los temas que hemos hablado porque son interesantes.,No lo sé.,"No lo sé, el curso está muy bien.",5,5,5,1,1,3,5,4,4,5,5,4,3,3,1,1,4,5,1,3,5,"2017, 2018, 2019","Yo, Mis padres",13,Buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,611459,Chica,Bien,10,10,Buena,Muy buena,Regular,Muy bien,Sí,Me gustaría estudiar psiquiatría.,Buena,Muy bien,Sí,Sí,9,Los kahoots y el debate que hicimos.,Cuando dábamos mucha teoría pero sé que es necesaria y no quiero que la quiten.,No lo sé.,5,5,5,1,2,3,5,5,4,5,5,4,3,4,2,1,4,5,1,4,5,"2017, 2018, 2019","Yo, Mis padres",13,Buena,Sí,Igual
SMART CITY,SENIOR,702837,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,10,Cuando conectamos toda la maqueta,-,-,5,5,5,2,4,4,4,4,5,2,5,4,4,4,4,4,5,5,1,2,5,2020 (online),Yo,15,Muy buena,No sé,Igual
VIDEOJUEGOS 3D,SENIOR,702837,Chica,Bien,9,5,Muy buena,Buena,Buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,9,Que resuelve todas las dudas de manera muy clara,Nada,nada,5,4,5,2,2,4,3,4,4,2,5,4,4,4,4,4,5,5,1,2,5,2020 (online),Yo,15,Muy buena,No sé,Igual
INGENIERIA ELECTRONICA,SENIOR,703676,Chico,Muy bien,10,9,Buena,No asistí,Muy buena,Muy bien,No sé,Informática,Buena,Muy bien,Sí,Sí,9,Explotar condensadores y soldar componentes,Que empiece tan temprano,Mover el horario 1 hora,5,4,5,1,1,5,4,5,5,2,5,5,4,5,1,4,4,5,1,1,4,No,Yo,15,Buena,No sé,Igual
EMPRENDE ICADE,SENIOR,703879,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,no se,Me da igual,Regular,Sí,Sí,10,la gente,Las horas,nada,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,Mis padres,15,Me da igual,Sí,Igual
ROBOTICA,JUNIOR,705000,Chica,Bien,8,8,No asistí,No asistí,Buena,Bien,No sé,no se,Buena,Bien,Sí,Sí,9,no se,no se,un patio con balones para jugar,4,3,4,1,3,3,3,3,3,1,5,3,3,5,1,3,4,3,1,1,4,No,"Yo, Mis padres",12,Buena,No sé,Igual
ROBOTICA,JUNIOR,705000,Chico,Muy bien,9,10,No asistí,No asistí,Muy buena,Muy bien,Sí,INGENIERO NAVAL,Muy buena,Muy bien,Sí,Sí,10,Los legos y el tiempo libre,no lo se,el patio,5,5,5,1,1,4,4,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,"Yo, Mis padres",12,Buena,No sé,Mejor
CIENCIA EN LA COCINA,JUNIOR,706000,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,biología de animales terrestres.,Muy buena,Bien,Sí,Sí,10,lo bien que nos lo pasamos con los compañeros,no hay nada malo,"yo creo que no se puede mejorar nada, es muy divertido",1,5,5,1,1,4,5,4,5,1,5,4,5,5,2,5,4,5,1,1,4,No,Yo,10,Buena,No sé,Mejor
DISEÑO 3D,JUNIOR,707000,Chico,Bien,9,9,No asistí,No asistí,,Muy bien,Sí,Farmacéutico,Buena,Bien,Sí,No,9,Que puedes tener cosas físicas,Es muy lioso diseñar,Que empieze más tarde,4,3,4,1,2,3,4,5,4,3,5,4,3,4,2,3,4,3,2,2,4,No,Yo,11,Buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,707974,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniería,Muy buena,Muy bien,Sí,Sí,10,Todo,Nada,"Absolutamente nada, ya es perfecto",5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,2019,Mis padres,15,Buena,Sí,Mejor
BIOINGENIERIA,SENIOR,707996,Chica,Muy bien,8,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniería biomédica,Buena,Muy bien,Sí,Sí,8,Los compañeros y los monitores,No hicimos tantas actividades  prácticas como me gustaría,Incorporar más visitas por la universidad,5,5,5,1,2,5,5,3,5,1,5,4,5,5,5,5,4,3,1,1,4,No,Yo,17,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,708269,Chico,Muy bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Algo relacionado con vehículos eléctricos y movilidad urbana.,Muy buena,Bien,Sí,Sí,10,Los materiales y energía que se utilizan.,No haber podido visitar todos los laboratorios.,Nada.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,4,5,"2018, 2019",Yo,12,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,708871,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,ingeniero,Buena,Muy bien,Sí,Sí,10,la editación de foto,algunas cosas de editación de video,,4,3,4,2,3,3,3,2,3,2,4,3,3,3,4,3,3,4,2,3,4,No,Yo,13,Buena,Sí,Igual
BIOINGENIERIA,JUNIOR,710515,Chica,Muy bien,10,6,No asistí,No asistí,Muy buena,Muy bien,Sí,Zoóloga,Muy buena,Bien,Sí,Sí,10,Ver por el microscopio las bacterias de las placas petri,"Cada dia en el curso se hace un poco largo, propongo que sea una hora menos","aparte de lo que he escrito arriba, nada mas",5,4,5,4,3,5,4,2,4,1,5,5,5,4,5,4,3,5,4,3,5,No,"Yo, Mis padres",13,Buena,No,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,710515,Chica,Muy bien,10,10,No asistí,No asistí,Regular,Muy bien,Sí,zoóloga,Buena,Muy bien,Sí,Sí,8,editar videos,lo mas complicado de photoshop,"en cuantos al rato de la mañana que estamos aqui, creo que deberia ser una hora menos",5,5,4,4,1,3,5,1,4,1,5,3,4,4,1,5,3,5,1,5,4,No,"Yo, Mis padres",13,Buena,No,Igual
CIBERSEGURIDAD,SENIOR,710906,Chico,Regular,7,8,Muy buena,Muy buena,Muy buena,Bien,Sí,"Arquitectura, ingeniería o ciberseguridad",Buena,Bien,Sí,Sí,8,Es interesante,Es muy corto,,4,5,4,2,1,3,5,3,4,1,4,5,5,5,3,4,3,4,1,2,3,No,Yo,15,Muy buena,Sí,Peor
SMART CITY,SENIOR,710906,Chico,Muy bien,7,6,Muy buena,Muy buena,Muy buena,Muy bien,Sí,"Arquitectura, Ingeniería o Ciberseguridad",Buena,Bien,Sí,Sí,9,El ambiente en clase y los contenidos aprendidos,Es un poco corto,,4,4,4,2,2,4,5,4,5,1,4,4,4,4,3,4,3,4,1,3,3,No,Yo,15,Muy buena,Sí,Peor
CIBERSEGURIDAD,SENIOR,711046,Chico,Muy bien,10,10,Buena,Muy buena,,Muy bien,Sí,Algo que tenga que ver con la informatica,Muy buena,Bien,Sí,Sí,10,"Los profesores, y la tematica de las clases",nada,,4,4,5,2,1,5,5,4,4,1,5,5,5,5,5,5,5,5,1,5,5,2019,Yo,14,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,711327,Chico,Muy bien,10,10,Muy buena,No asistí,,Muy bien,Sí,Física,Muy buena,Muy bien,Sí,Sí,10,Resolver problemas de electrónica,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,5,2020 (online),Yo,14,Muy buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,712000,Chico,Bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,Algo relacionado con las ciencias,Buena,Muy bien,Sí,Sí,10,Las visitas a los laboratorios,Estar tanto tiempo con pantallas,Nada,5,4,5,2,2,5,4,3,5,3,5,4,5,5,4,3,3,3,1,4,5,No,"Yo, Mis padres, Mis amigos, Otros",11,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,801040,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingeniero en Acciona/Navantia,Muy buena,Bien,Sí,Sí,9,Los monitores y las clases de los F1,Nada es especial.,No veo nada en especial. Lo único que diría es que es muy pronto por la mañana.,5,5,5,2,1,4,5,2,5,4,5,5,5,5,4,4,5,4,1,4,5,2019,Yo,17,Muy mala,Sí,Other
EDICION DE FOTO Y VIDEO,JUNIOR,802000,Chica,Bien,8,7,No asistí,No asistí,Buena,Muy bien,No sé,Todavía no lo sé.,Buena,Muy bien,Sí,Sí,7,Los ordenadores.,El recreo.,,4,4,4,2,3,2,3,4,4,5,5,5,3,4,4,1,4,4,2,4,4,No,"Yo, Mis padres",12,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,802000,Chico,Muy bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,Jugador de golf,Muy buena,Muy bien,Sí,Sí,10,la ayuda de los monitores,NADA,NADA,5,4,5,1,1,5,4,5,5,1,5,5,4,5,1,4,5,5,1,1,5,No,"Yo, Mis padres",12,Buena,No sé,Mejor
EDICION DE FOTO Y VIDEO,SENIOR,802836,Chica,Bien,10,10,Regular,No asistí,Buena,Bien,Sí,Programación o animación,Buena,Muy bien,Sí,Sí,9,Premiere (edición y montaje de vídeos),Restauración de imágenes,-,5,5,5,2,1,4,5,5,5,2,5,5,5,4,3,5,4,5,2,1,4,"2016, 2017, 2018, 2019",Yo,15,Buena,Sí,Igual
VIDEOJUEGOS 3D,SENIOR,802836,Chica,Bien,10,5,Regular,No asistí,Buena,Bien,Sí,Programación o animación,Buena,Muy bien,Sí,Sí,9,"El último día, cuando tenías tiempo libre para mejorar lo videojuegos a partir de lo que habíamos aprendido",El primer día donde todo fue teórico,No sé,5,5,4,2,2,4,5,4,5,2,5,5,5,5,4,4,3,4,1,2,5,"2016, 2017, 2018, 2019",Yo,15,Buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,804000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,arquitecta,Muy buena,Bien,Sí,Sí,10,morcilla de chcolate,nada,nada,4,4,5,1,3,4,4,5,5,4,5,5,3,5,4,4,4,5,1,4,5,No,Yo,11,Buena,No sé,Mejor
DISEÑO 3D,JUNIOR,804000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Arquitectura,Muy buena,Bien,Sí,Sí,10,Boli 3D,Nada,Nada,4,4,5,1,3,4,3,4,5,3,5,3,3,3,4,3,3,5,4,5,4,No,Yo,11,Buena,No sé,Mejor
BIOINGENIERIA,SENIOR,804594,Chica,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,Microbiología,Buena,Muy bien,Sí,Sí,10,Teoría muy interesante,El nivel de puntualidad de comienzo de las clases,,5,5,5,2,5,5,5,4,5,1,4,3,5,5,4,5,4,5,1,4,5,No,Yo,14,Muy buena,Sí,Peor
INGENIERIA MECANICA,SENIOR,805065,Chico,Muy bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniería,Muy buena,Muy bien,Sí,Sí,9,Los talleres y aprender de Fórmula 1,Considero que podíamos haber hecho más cosas prácticas.,Nada,5,5,5,1,1,4,5,4,4,1,5,5,5,5,2,4,3,5,1,2,3,No,Yo,15,Muy buena,Sí,Igual
DRONES,SENIOR,805382,Chico,Muy bien,9,9,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingeniería,Buena,Muy bien,Sí,Sí,9,"4º dia, Terrabot",1er dia,El espacio para el descanso,4,4,5,2,1,3,4,4,4,2,5,4,4,3,3,4,2,5,1,3,5,"2019, 2020 (online)",Yo,16,Buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,806041,Chico,Bien,8,8,No asistí,No asistí,Buena,Regular,No,no lo sé,Me da igual,Regular,Sí,Sí,8,Foto,Nda,Los ordenadores,2,2,3,3,4,2,2,2,2,4,3,3,3,3,4,2,3,3,4,4,3,No,Mis padres,15,Me da igual,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,806041,Chico,Regular,9,1,No asistí,No asistí,Buena,Bien,No,No se,Me da igual,Regular,Sí,Sí,8,El photoshop,No se ha explicado tanto,Las explicaciones,4,2,3,3,4,2,2,2,2,4,3,2,2,2,4,2,4,3,5,4,4,No,Mis padres,15,Me da igual,No sé,Igual
EMPRENDE ICADE,SENIOR,806041,Chico,Bien,9,9,No asistí,No asistí,Buena,Bien,No,No lo sé,Me da igual,Regular,Sí,Sí,8,La simulacion de harvard,El horario,,2,2,3,2,4,2,2,2,2,4,3,2,2,2,4,2,3,3,4,4,3,No,Mis padres,15,Me da igual,No sé,Igual
BIOINGENIERIA,SENIOR,806974,Chico,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,No lo sé todavúa,Buena,Muy bien,Sí,Sí,10,Los experimentos,nada,Que empiece un poco mas tarde,5,5,5,1,1,4,5,4,5,1,5,5,5,5,5,5,5,5,1,2,4,2017,Yo,17,Muy buena,Sí,Peor
VIDEOJUEGOS 3D,SENIOR,809000,Chica,Muy bien,10,5,Muy buena,No asistí,Buena,Muy bien,Sí,"Matemáticas, física o similares.",Buena,Muy bien,Sí,Sí,10,"Para mí, lo mejor del curso ha sido que hemos aprendido muchas cosas, muy variadas y de forma rápida, amena y sin interrupciones en las explicaciones. También me ha gustado que al ser pocos, las dudas se respondían siempre y muy rápido.",En las aulas hacía un poco de frío.,"Tal vez si la duración del taller fuese mayor, se podrían hacer aún más cosas.",5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,4,1,1,5,No,Yo,14,Buena,Sí,Igual
VIDEOJUEGOS 3D,SENIOR,809000,Chico,Bien,9,5,Buena,Buena,Buena,Bien,Sí,No lo sé,Muy buena,Muy bien,Sí,Sí,9,Usar Unreal Engine,Nada,Nada,4,4,4,2,4,4,4,3,4,2,4,4,4,4,4,4,4,4,2,4,4,No,Yo,14,Buena,Sí,Mejor
AUTOMATIZACION,SENIOR,902236,Chica,Muy bien,9,5,Buena,Buena,Buena,Muy bien,Sí,ns/nc,Muy buena,Muy bien,Sí,Sí,9,ns/nc,nada,nada,5,4,4,2,1,4,4,4,4,3,4,4,5,4,2,3,4,4,1,3,4,"2017, 2018, 2019, 2020 (online)",Yo,14,Buena,Sí,Mejor
CIENCIA EN LA COCINA,JUNIOR,903000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Al teatro.,Muy buena,Muy bien,Sí,Sí,10,conocer a Celia,NADA,NADA,4,5,5,1,4,4,3,3,5,2,5,4,4,4,4,4,5,5,1,2,5,No,"Yo, Mis padres",10,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,903000,Chica,Regular,10,1,No asistí,No asistí,Muy buena,Muy bien,No sé,Al teatro.,Buena,Muy bien,Sí,Sí,8,los compañeros,nada,hacer este cuestionario tambien al principio oral con el profesor,3,4,5,1,3,4,3,2,5,3,5,5,4,4,3,3,5,5,1,1,5,No,"Yo, Mis padres",10,Muy buena,Sí,Peor
INGENIERIA MECANICA,JUNIOR,903000,Chico,Muy bien,8,10,Buena,No asistí,Muy buena,Bien,Sí,"no lo se, aunque algo de ingenieria",Muy buena,Muy bien,Sí,Sí,10,montar y desmontar coches,la hora de entrada,"empezar mas tarde, y cambiar material (lapices, gomas...)",5,5,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,5,1,2,5,No,"Yo, Mis padres",10,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,SENIOR,904445,Chica,Muy bien,10,9,Buena,Buena,,Muy bien,Sí,a la investigación en medicina,Buena,Muy bien,Sí,Sí,9,"Los trampantojos quedaron súper bien y fueron muy divertidos de hacer, el horno fue muy chulo también y todo lo del chocolate","las esferificaciones por decir algo, pero no estaban mal",poner un fregadero en la clase si se puede para no perder tanto tiempo limpiando,5,5,5,2,1,3,5,4,4,1,4,5,5,5,3,5,3,4,1,3,3,"2017, 2018, 2019",Yo,15,Me da igual,Sí,Mejor
EDICION DE FOTO Y VIDEO,SENIOR,905682,Chico,Muy bien,8,10,Muy buena,No asistí,Regular,Muy bien,Sí,INGENIERIA DE TELECOMUNICACIOES,Muy buena,Muy bien,Sí,Sí,9,LOS PROGRAMAS,LA HORA,NADA,5,5,5,1,1,4,5,5,5,1,5,5,5,5,1,4,3,4,1,1,4,No,Yo,15,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,908167,Chica,Bien,10,10,Muy buena,No asistí,Regular,Muy bien,Sí,Ingeniería Biomédica o Biotecnología,Muy buena,Muy bien,Sí,Sí,9,Las prácticas de tinción y ver al microscopio.,La teoría,"Creo q se debería dedicar más tiempo a las prácticas o hacer muchas más, ya que la teoría dura mucho y es más rollo.",5,5,5,2,1,5,5,4,5,1,4,5,5,5,2,5,5,4,1,3,3,No,"Yo, Mis padres",14,Buena,Sí,Mejor
